Key	Simplified Chinese	English
info.weapon-winchester.name	温切斯特步枪	Winchester
info.weapon-winchester.desc	"又响又致命。可能不是很适合低调行事，但在警察已经决定袖手旁观时就很理想。枪口务必不要对着自己人。\n\n非要害伤害值：50 -- 要害伤害值：100\n\n<indent=10><b>基础价格\n<sprite name=""ui buy""> 无法买卖</b></indent>"	"Loud and fatal. Not necessarily a great weapon for subtlety, but wonderful for use when the cops have already decided to look away. Point the smoky end away from your friends.\n\nLow Hit:50 -- High Hit: 100\n\n<indent=10><b>Base price\n<sprite name=""ui buy""> Can't be bought/sold</b></indent>"
info.weapon-thompson.name	汤普森冲锋枪	Thompson Machine Gun
info.weapon-thompson.desc	"懒得练习打靶时的神器。面对多个敌人时的绝佳伴侣。不是很适合精确射击。把它交给会用的人，你会迅速升级为整个城市的威胁。\n\n非要害伤害值：60 -- 要害伤害值：100\n\n<indent=10><b>基础价格\n<sprite name=""ui buy""> 无法买卖</b></indent>"	"For when you can't be bothered with target practice. Excellent at facing off against multiple enemies. Not so excellent at fine-tuned, measured shots. Put in capable hands and you'll soon rise to the terror of the city.\n\nLow Hit:60 -- High Hit: 100\n\n<indent=10><b>Base price\n<sprite name=""ui buy""> Can't be bought/sold</b></indent>"
info.weapon-pistol.name	袖珍手枪	Pocket Pistol
info.weapon-pistol.desc	"因易于携带和效果好而著称。在威力方面可能不及其他家伙，但很适合偷偷带入不应该带枪的地方。\n\n非要害伤害值：40 -- 要害伤害值：90\n\n<indent=10><b>基础价格\n<sprite name=""ui buy""> 无法买卖</b></indent>"	"Famously pocketable and effective. It doesn't pack quite the punch as other options, but its great for sneaking into places you shouldn't have a gun.\n\nLow Hit:40 -- High Hit: 90\n\n<indent=10><b>Base price\n<sprite name=""ui buy""> Can't be bought/sold</b></indent>"
info.weapon-switchblade.name	弹簧刀	Switchblade
info.weapon-switchblade.desc	"不太可能吸引大量注意力，但致命性毫不含糊。弹簧刀刃是经典，让人不得不尊敬。拿在会用的人手里，足以表明你的立场。\n\n非要害伤害值：5 -- 要害伤害值：35\n\n<indent=10><b>基础价格\n<sprite name=""ui buy"">$80/把</b></indent>"	"Not likely to draw a lot of attention, but deadly all the same. The switchblade is a classic, not to be disrespected. In the right hands, this is plenty to get your point across..\n\nLow Hit:5 -- High Hit: 35\n\n<indent=10><b>Base price\n<sprite name=""ui buy"">$80 each</b></indent>"
info.homebooze-apple-jack.name	非法烈性苹果酒业务	Backroom Applejack Operation
info.homebooze-apple-jack.desc	"<b>地方性业务，仅在部分城市开展。</b>\n\n<indent=10>使用苹果或苹果汁、冰和小瓶子生产烈性苹果酒。\n<sprite name=""res apples""> + <sprite name=""res ice""> + <sprite name=""res small-bottles""> <sprite name=""ui arr sm right""> <sprite name=""res apple-jack"">\n<b><sprite name=""res apple-juice""> + <sprite name=""res ice""> + <sprite name=""res small-bottles""> <sprite name=""ui arr sm right""> <sprite name=""res apple-jack""></b>\n\n<b>需要：</b>\n<sprite name=""skill applejacking""><link=""homebooze-apple-jack"">酿制烈性苹果酒</link>，<sprite name=""res cash""> 900，<sprite name=""res barrels""> 5</indent>\n\n建成并供应<link=""apples"">苹果</link>或<link=""apple-juice"">苹果汁</link>、<link=""small-bottles"">冰和小瓶子</link>后，此业务即可生产出<link=""applejack"">烈性苹果酒</link>。此酒既可以卖给城市各处的商家，也可以通过你自己的<link=""backroom-bootlegger"">私酒售卖场所</link>或街角非法酒吧售卖。烈性苹果酒还能被用于生产<link=""sparkling-cider"">气泡苹果酒</link>，但你要先学会如何开展<link=""production-sparkling-cider"">气泡苹果酒业务</link>或制造<link=""production-sparkling-cider-upgraded"">气泡苹果酒发酵桶</link>。\n\n<i><indent=30>一天一苹果，医生远离我。</i>\n</indent><indent=40>—苹果酒销售受到“节制运动”影响的果园主想出的一条营销口号</indent>"	"<b>Regional operation only available in some cities.</b>\n\n<indent=10>Creates applejack from apples or apple juice, ice, and small bottles.\n<sprite name=""res apples""> + <sprite name=""res ice""> + <sprite name=""res small-bottles""> <sprite name=""ui arr sm right""> <sprite name=""res apple-jack"">\n<b><sprite name=""res apple-juice""> + <sprite name=""res ice""> + <sprite name=""res small-bottles""> <sprite name=""ui arr sm right""> <sprite name=""res apple-jack""></b>\n\n<b>Requires:</b>\n<sprite name=""skill applejacking""> <link=""homebooze-apple-jack"">Apple Jacking</link>,  <sprite name=""res cash"">900, <sprite name=""res barrels""> 5</indent>\n\nWhen installed and supplied with <link=""apples"">apples</link> or <link=""apple-juice"">apple juice</link> and <link=""small-bottles"">small bottles</link>, produces <link=""applejack"">applejack</link> that can be sold to businesses across the city or in your own <link=""backroom-bootlegger"">Backroom Bootleggers</link> or Corner Speakeasies. Applejack can also be used to make <link=""sparkling-cider"">sparkling cider</link> once you learn how to construct a <link=""production-sparkling-cider"">Sparkling Cider Operation</link> or <link=""production-sparkling-cider-upgraded"">Sparkling Cider Fermenter</link>.\n\n<i><indent=30>An apple a day keeps the doctor away.</i>\n</indent><indent=40>—A marketing slogan adopted by orchard owners concerned by the temperance movement's impact on sales of hard cider</indent>"
info.production-fruit-brandy.name	拉基亚酒蒸馏设备	Rakija Still
info.production-fruit-brandy.desc	"<b>地方性业务，仅在部分城市开展。</b>\n\n<indent=10>使用梅子、小瓶子和糖生产拉基亚酒。\n<b><sprite name=""res plums""> + <sprite name=""res small-bottles""> + <sprite name=""res sugar""> <sprite name=""ui arr sm right""> <sprite name=""res rakija""></b>\n\n<b>需要：</b>\n<sprite name=""skill fruit brandy""><link=""fruit-brandy-skill"">梅子白兰地</link>，<sprite name=""res cash""> 1600，<sprite name=""steel barrels""> 10，<sprite name=""res pipes""> 5</indent>\n\n建成并供应<link=""plums"">梅子</link>、<link=""small-bottles"">小瓶子</link>和<link=""sugar"">糖</link>后，此业务即可生产出<link=""rakija"">拉基亚酒</link>。此酒既可以卖给城市各处的商家，也可以通过你自己的<link=""backroom-bootlegger"">私酒售卖场所</link>或街角非法酒吧售卖。"	"<b>Regional operation only available in some cities.</b>\n\n<indent=10>Creates rakija from plums, small bottles, and sugar.\n<b><sprite name=""res plums""> + <sprite name=""res small-bottles""> + <sprite name=""res sugar""> <sprite name=""ui arr sm right""> <sprite name=""res rakija""></b>\n\n<b>Requires:</b>\n<sprite name=""skill fruit brandy""><link=""fruit-brandy-skill"">Plum Brandy</link>, <sprite name=""res cash""> 1600, <sprite name=""steel barrels""> 10, <sprite name=""res pipes""> 5</indent>\n\nWhen installed and supplied with <link=""plums"">plums</link>, <link=""small-bottles"">small bottles</link> and <link=""sugar"">sugar</link>, this operation produces <link=""rakija"">rakija</link> that can be sold to businesses across the city or in your own <link=""backroom-bootlegger"">Backroom Bootleggers</link> or Corner Speakeasies."
info.production-corn-whiskey.name	玉米威士忌蒸馏厂	Corn Whiskey Still
info.production-corn-whiskey.desc	"<b>地方性业务，仅在部分城市开展。</b>\n\n<indent=10>使用玉米和瓶子生产玉米威士忌。\n<b><sprite name=""res corn""> + <sprite name=""res bottles""> <sprite name=""ui arr sm right""> <sprite name=""res corn whiskey""></b>\n\n<b>需要：</b>\n<sprite name=""skill corn distillation""><link=""corn-whiskey-skill"">玉米威士忌生产</link>，<sprite name=""res cash""> 1800，<sprite name=""res steel-barrels""> 5，<sprite name=""res pipes""> 8</indent>\n\n建成并供应<link=""corn"">玉米</link>和<link=""bottles"">瓶子</link>后，此业务即可生产出<link=""corn-whiskey"">玉米威士忌</link>。此酒既可以卖给城市各处的商家，也可以通过你自己的<link=""backroom-bootlegger"">私酒售卖场所</link>或街角非法酒吧售卖。"	"<b>Regional operation only available in some cities.</b>\n\n<indent=10>Creates corn whiskey from corn and bottles.\n<b><sprite name=""res corn""> + <sprite name=""res bottles""> <sprite name=""ui arr sm right""> <sprite name=""res corn whiskey""></b>\n\n<b>Requires:</b>\n<sprite name=""skill corn distillation""><link=""corn-whiskey-skill"">Corn Whiskey Manufacture</link>, <sprite name=""res cash""> 1800, <sprite name=""res steel-barrels""> 5, <sprite name=""res pipes""> 8</indent>\n\nWhen installed and supplied with <link=""corn"">corn</link> and <link=""bottles"">bottles</link>, this operation produces <link=""corn-whiskey"">corn whiskey</link> that can be sold to businesses across the city or in your own <link=""backroom-bootlegger"">Backroom Bootleggers</link> or Corner Speakeasies."
info.conversion-ice-house.name	冷库	Ice House
info.conversion-ice-house.desc	"<indent=10>使用汽油为制冷机发电，将水变成冰。\n<b><sprite name=""res gasoline""> <sprite name=""ui arr sm right""> <sprite name=""res ice""></b>\n\n<b>需要：</b>\n<sprite name=""skill ice making""><link=""ice-making"">制冰</link>，<sprite name=""res cash""> 800，<sprite name=""res pipes""> 8，<sprite name=""res lumber""> 8，<sprite name=""bricks""> 6</indent>\n\n建成并供应<link=""gasoline"">汽油</link>后，此业务即可生产出<link=""ice"">冰块</link>。冰块可以用于生产<link=""apple-jack"">烈性苹果酒</link>和<link=""champagne"">香槟</link>。相比从公开市场上购买，自己制冰更可靠，也更便宜。\n\n<i><indent=30><i>文明始自蒸馏。</i></indent>\n<indent=40>—威廉·福克纳</indent> "	"<indent=10>Uses gasoline to power freezers that turn water into ice.\n<b><sprite name=""res gasoline""> <sprite name=""ui arr sm right""> <sprite name=""res ice""></b>\n\n<b>Requires:</b>\n<sprite name=""skill ice making""> <link=""ice-making"">Ice Making</link>, <sprite name=""res cash""> 800, <sprite name=""res pipes""> 8, <sprite name=""res lumber""> 8, <sprite name=""bricks""> 6</indent>\n\nWhen installed and supplied with <link=""gasoline"">gasoline</link>, this operation produces <link=""ice"">ice</link> that can be used to make <link=""apple-jack"">applejack</link> and <link=""champagne"">champagne</link>. Making your own ice can be more reliable and less expensive than purchasing it on the open market.\n\n<i><indent=30><i>Civilization begins with distillation.</i></indent>\n<indent=40>—William Faulkner</indent> "
info.conversion-labels.name	仿制标签印刷厂	Counterfeit Label Printer
info.conversion-labels.desc	"<indent=10>将纸张变成仿制标签。\n<b><sprite name=""res paper""> <sprite name=""ui arr sm right""> <sprite name=""res labels></b>\n\n<b>需要：</b>\n<sprite name=""skill labels""><link=""label-counterfeiting"">仿制标签</link>，<sprite name=""res sheet metal""> 5，<sprite name=""res lumber""> 10，<sprite name=""res bricks""> 10</indent>\n\n建成并供应<link=""paper"">纸张</link>后，此业务即可生产出<link=""labels>标签</link>。要生产不同类型的瓶装酒，标签必不可少。相比从公开市场上购买，自己生产标签更可靠，也更便宜。\n\n<i><indent=30><i>杯中美酒一饮而尽，千姿百态随之而来。</i></indent>\n<indent=40>—约翰·席勒</indent>"	"<indent=10>Turns paper into counterfeit labels.\n<b><sprite name=""res paper""> <sprite name=""ui arr sm right""> <sprite name=""res labels></b>\n\n<b>Requires:</b>\n<sprite name=""skill labels""> <link=""label-counterfeiting"">Label Counterfeiting</link>, <sprite name=""res sheet metal""> 5, <sprite name=""res lumber""> 10, <sprite name=""res bricks""> 10</indent>\n\nWhen installed and supplied with <link=""paper"">paper</link>, this operation produces <link=""labels>labels</link> that are necessary to make various different types of bottled alcohols. Making your own labels can be more reliable and less expensive than purchasing it on the open market.\n\n<i><indent=30><i>When the wine goes in, strange things come out.</i></indent>\n<indent=40>—Johann Schiller</indent>"
info.small-speakeasy.name	小型非法酒吧	Small Speakeasy
info.small-speakeasy.desc	"<indent=10>可以出售各种精酿私酒\n<sprite name=""res fake-wine""> <sprite name=""res fake-beer""> <sprite name=""res sparkling-cider""> <sprite name=""res bathtub-gin""> <sprite name=""res rakija""> <sprite name=""res corn whiskey""></b>\n以及一种瓶装酒\n<sprite name=""res whisky""> <sprite name=""res brandy""> <sprite name=""res vodka""> <sprite name=""res rum"">\n\n<b>需要：</b>\n<sprite name=""ui skills"">小型非法酒吧，<sprite name=""res cash""> 7,500，<sprite name=""res lumber""> 40，<sprite name=""res furniture""> 40</indent>\n\n一个结实的吧台、上乘的美酒再加上几套散落的桌椅，这些就足以让人们在这个小型非法酒吧里流连忘返。此业务可以出售各类精酿私酒，以及一种瓶装私酒。\n\n<i><indent=30>昨天深夜，我放弃一切泪流神伤；心怀对芝加哥的感伤，我无法释怀。</i>\n</indent><indent=40>—贝西·史密斯《芝加哥注定悲伤》</indent>"	"<indent=10>Can sell all varieties of refined booze.\n<sprite name=""res fake-wine""> <sprite name=""res fake-beer""> <sprite name=""res sparkling-cider""> <sprite name=""res bathtub-gin""> <sprite name=""res rakija""> <sprite name=""res corn whiskey""></b>\nand one type of bottled booze\n<sprite name=""res whiskey""> <sprite name=""res brandy""> <sprite name=""res vodka""> <sprite name=""res rum"">\n\n<b>Requires:</b>\n<sprite name=""ui skills""> Small Speakeasies,  <sprite name=""res cash"">7,500,  <sprite name=""res lumber""> 40,  <sprite name=""res furniture""> 40</indent>\n\nA robust bar, quality booze, and some scattered tables and chairs is enough to keep people flowing through this small speakeasy. This operation can sell every type of refined booze and one kind of bottled booze.\n\n<i><indent=30>Late last night, I sold away and cried; Had the blues for Chicago, I just can't be satisfied.</i>\n</indent><indent=40>—Bessie Smith from ""Chicago Bound Blues""</indent>"
info.garage-module.name	车库	Garages
info.garage-module.desc	"<indent=10>提高你的组织同时可以保有的车辆数量，以及提供便宜的维修服务。\n\n<b>需要：</b>\n<sprite name=""skill garages""><link=""small-garages"">车库建造</link>，<sprite name=""res cash""> 250，<sprite name=""res bricks""> 5，<sprite name=""res sheet metal""> 2</indent>\n\n建成后，此业务可以为你组织的车辆提供额外的停车空间，并可以用于提供便宜的维修服务。\n\n<i><indent=30>我是一名理想主义者，我不知道自己要去哪，但我一直在路上。</i></indent>\n<indent=40>—卡尔·桑德堡</indent>"	"<indent=10>Increases the amount of cars your outfit can sustain at one time, as well as providing cheap repair services.\n\n<b>Requires:</b>\n<sprite name=""skill garages""> <link=""small-garages"">Garage Construction</link>, <sprite name=""res cash""> 250, <sprite name=""res bricks""> 5, <sprite name=""res sheet metal""> 2</indent>\n\nWhen installed, this operation provides additional parking spaces for your outfit's cars and can be used for cheap repairs.\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.truck-garage-module.name	卡车维修间	Truck Repair Bay
info.truck-garage-module.desc	"<indent=10>提高你的组织同时可以保有的卡车数量，以及提供便宜的维修服务。\n\n<b>需要：</b>\n<sprite name=""skill truck-bays""><link=""truck-garage"">卡车维修间</link>，<sprite name=""res cash""> 750，<sprite name=""res bricks""> 6，<sprite name=""res sheet metal""> 4</indent>\n\n建成后，此业务可以为你组织的卡车提供额外的停车空间，并可以用于提供便宜的维修服务。\n\n<i><indent=30>我是一名理想主义者，我不知道自己要去哪，但我一直在路上。</i></indent>\n<indent=40>—卡尔·桑德堡</indent>"	"<indent=10>Increases the amount of trucks your outfit can sustain at one time, as well as providing cheap repair services.\n\n<b>Requires:</b>\n<sprite name=""skill truck-bays""> <link=""truck-garage"">Truck Repair Bays</link>, <sprite name=""res cash""> 750, <sprite name=""res bricks""> 6, <sprite name=""res sheet metal""> 4</indent>\n\nWhen installed, this operation provides additional parking spaces for your outfit's trucks and can be used for cheap repairs.\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.production-champagne.name	香槟生产	Champagne Manufacture
info.production-champagne.desc	"<indent=10>使用标签、冰、糖和仿制葡萄酒生产香槟。\n<b><sprite name=""res labels""> + <sprite name=""res ice""> + <sprite name=""res sugar""> + <sprite name=""res fake-wine""> <sprite name=""ui arr sm right""> <sprite name=""res champagne""></b>\n\n<b>需要：</b>\n<sprite name=""skill champagne""><link=""champagne-making"">香槟制作方式</link>，<sprite name=""res cash""> 5000，<sprite name=""res barrels""> 50，<sprite name=""res pipes""> 20，<sprite name=""res lumber""> 20，<sprite name=""res sheet metal""> 20</indent>\n\n建成并供应<link=""labels"">仿制标签</link>、<link=""ice"">冰</link>、<link=""sugar"">糖</link>和<link=""fake-wine"">仿制葡萄酒</link>后，此业务即可生产出<link=""champagne"">香槟</link>。此酒既可以卖给城市各处的商家，也可以通过你自己的业务渠道售卖。"	"<indent=10>Creates champagne from labels, ice, sugar, and counterfeit wine.\n<b><sprite name=""res labels""> + <sprite name=""res ice""> + <sprite name=""res sugar""> + <sprite name=""res fake- wine""> <sprite name=""ui arr sm right""> <sprite name=""res champagne""></b>\n\n<b>Requires:</b>\n<sprite name=""skill champagne""><link=""champagne-making"">Champagne Methods</link>, <sprite name=""res cash""> 5000, <sprite name=""res barrels""> 50, <sprite name=""res pipes""> 20, <sprite name=""res lumber""> 20, <sprite name=""res sheet metal""> 20</indent>\n\nWhen installed and supplied with <link=""labels"">counterfeit labels</link>, <link=""ice"">ice</link>, <link=""sugar"">sugar</link>, <link=""fake-wine"">counterfeit wine</link>, this operation produces <link=""champagne"">champagne</link> that can be sold to businesses across the city or in your own operations."
info.production-dark-rum.name	香料朗姆酒生产	Spiced Rum Manufacture
info.production-dark-rum.desc	"<indent=10>使用标签、橡木桶、香料、小瓶子和桶装朗姆酒生产黑朗姆酒。\n<b><sprite name=""res labels""> + <sprite name=""res oak-barrels""> + <sprite name=""res spices""> + <sprite name=""res small-bottles""> <sprite name=""ui arr sm right""> <sprite name=""res dark rum""></b>\n\n<b>需要：</b>\n<sprite name=""skill dark-rum""><link=""dark-rum-making"">香料朗姆酒生产</link>，<sprite name=""res cash""> 5000，<sprite name=""res half-barrels""> 50，<sprite name=""res pipes""> 20，<sprite name=""res lumber""> 20，<sprite name=""res bricks""> 20</indent>\n\n建成并供应<link=""labels"">仿制标签</link>、<link=""oak-barrels"">橡木桶</link>、<link=""spices"">香料</link>、<link=""fake-wine"">小瓶子和桶装朗姆酒</link>后，此业务即可生产出<link=""dark-rum"">香料朗姆酒</link>。此酒既可以卖给城市各处的商家，也可以通过你自己的业务渠道售卖。"	"<indent=10>Creates spiced rum from labels, oak barrels, spices, small bottles, and rum barrels.\n<b><sprite name=""res labels""> + <sprite name=""res oak-barrels""> + <sprite name=""res spices""> + <sprite name=""small bottles""> <sprite name=""ui arr sm right""> <sprite name=""res dark rum""></b>\n\n<b>Requires:</b>\n<sprite name=""skill dark-rum""><link=""dark-rum-making"">Spiced Rum Manufacture</link>, <sprite name=""res cash""> 5000, <sprite name=""res half-barrels""> 50, <sprite name=""res pipes""> 20, <sprite name=""res lumber""> 20, <sprite name=""res bricks""> 20</indent>\n\nWhen installed and supplied with <link=""labels"">counterfeit labels</link>, <link=""oak-barrels"">oak barrels</link>, <link=""spices"">spices</link>, and <link=""small-bottles"">small bottles</link>, this operation produces <link=""dark-rum"">spiced rum</link> that can be sold to businesses across the city or in your own operations."
info.production-beer-kegs.name	大型啤酒酿酒厂	Large Brewery
info.production-beer-kegs.desc	"<indent=10>使用钢桶、冰和私酿啤酒生产桶装啤酒。\n<b><sprite name=""res steel-barrels""> + <sprite name=""res ice""> + <sprite name=""res fake-beer""> <sprite name=""ui arr sm right""> <sprite name=""res beer-keg""></b>\n\n<b>需要：</b>\n<sprite name=""skill beer-kegs""><link=""beer-kegs-skill"">桶装啤酒</link>，<sprite name=""res cash""> 4000，<sprite name=""res steel-barrels""> 20，<sprite name=""res ice""> 30，<sprite name=""res fake-beer""> 20</indent>\n\n建成并供应<link=""steel-barrels"">钢桶</link>、<link=""ice"">冰</link>和<link=""fake-beer"">私酿啤酒</link>后，此业务即可生产出<link=""beer-keg"">桶装啤酒</link>。此酒既可以卖给城市各处的商家，也可以通过你自己的业务渠道售卖。"	"<indent=10>Creates beer kegs from steel barrels, ice, and backroom beer.\n<b><sprite name=""res steel-barrels""> + <sprite name=""res ice""> + <sprite name=""res fake-beer""> <sprite name=""ui arr sm right""> <sprite name=""res beer-keg""></b>\n\n<b>Requires:</b>\n<sprite name=""skill beer-kegs""><link=""beer-kegs-skill"">Beer by the Keg</link>, <sprite name=""res cash""> 4000, <sprite name=""res steel-barrels""> 20, <sprite name=""res ice""> 30, <sprite name=""res fake-beer""> 20</indent>\n\nWhen installed and supplied with <link=""steel-barrels"">steel barrels</link>, <link=""ice"">ice</link>, <link=""fake-beer"">backroom beer</link>, this operation produces <link=""beer-keg"">beer kegs</link> that can be sold to businesses across the city or in your own operations."
info.production-aged-whiskey.name	陈年威士忌生产	Aged Whiskey Manufacture
info.production-aged-whiskey.desc	"<indent=10>使用标签、橡木桶、小瓶子和桶装威士忌生产陈年威士忌。\n<b><sprite name=""res labels""> + <sprite name=""res oak-barrels""> + <sprite name=""res small-bottles""> + <sprite name=""res whiskey-barrel""> <sprite name=""ui arr sm right""> <sprite name=""res aged whiskey""></b>\n\n<b>需要：</b>\n<sprite name=""skill aged-whiskey""><link=""aged-whiskey-skill"">陈年威士忌</link>，<sprite name=""res cash""> 5000，<sprite name=""res barrels""> 50，<sprite name=""res pipes""> 20，<sprite name=""res lumber""> 20，<sprite name=""res sheet metal""> 20</indent>\n\n建成并供应<link=""labels"">仿制标签</link>、<link=""oak-barrels"">橡木桶</link>、<link=""small-bottles"">小瓶子</link>和<link=""whiskey-barrel"">桶装威士忌</link>后，此业务即可生产出<link=""aged-whiskey"">陈年威士忌</link>。此酒既可以卖给城市各处的商家，也可以通过你自己的业务渠道售卖。"	"<indent=10>Creates aged whiskey from labels, oak barrels, small bottles, and whiskey barrels.\n<b><sprite name=""res labels""> + <sprite name=""res oak-barrels""> + <sprite name=""res small-bottles""> + <sprite name=""res whiskey-barrel""> <sprite name=""ui arr sm right""> <sprite name=""res aged whiskey""></b>\n\n<b>Requires:</b>\n<sprite name=""skill aged-whiskey""><link=""aged-whiskey-skill"">Years of Whiskey</link>, <sprite name=""res cash""> 5000, <sprite name=""res barrels""> 50, <sprite name=""res pipes""> 20, <sprite name=""res lumber""> 20, <sprite name=""res sheet metal""> 20</indent>\n\nWhen installed and supplied with <link=""labels"">counterfeit labels</link>, <link=""oak-barrels"">oak barrels</link>, <link=""small-bottles"">small bottles</link>, and <link=""whiskey-barrel"">whiskey barrels</link>, this operation produces <link=""aged-whiskey"">aged whiskey</link> that can be sold to businesses across the city or in your own operations."
info.production-cordial.name	甜酒生产	Cordial Manufacture
info.production-cordial.desc	"<indent=10>使用标签、水果、冰、瓶子和桶装伏特加或中性酒精生产甜酒。\n<b><sprite name=""res labels""> + <sprite name=""res fruit""> + <sprite name=""res ice""> + <sprite name=""res bottles""> + <sprite name=""res vodka-barrel""> <sprite name=""ui arr sm right""> <sprite name=""res cordials"">\n<sprite name=""res labels""> + <sprite name=""res citrus""> + <sprite name=""res ice""> + <sprite name=""res bottles""> + <sprite name=""res vodka-barrel""> <sprite name=""ui arr sm right""> <sprite name=""res cordials"">\n<sprite name=""res labels""> + <sprite name=""res grape-juice""> + <sprite name=""res ice""> + <sprite name=""res bottles""> + <sprite name=""res alcohol-btl""> <sprite name=""ui arr sm right""> <sprite name=""res cordials""></b>\n\n<b>需要：</b>\n<sprite name=""skill cordials""><link=""cordial-making"">致敬甜心</link>，<sprite name=""res cash""> 7500，<sprite name=""res barrels""> 50，<sprite name=""res pipes""> 20，<sprite name=""res lumber""> 20</indent>\n\n建成并供应<link=""labels"">仿制标签</link>、<link=""fruit"">水果</link>、<link=""ice"">冰</link>、<link=""bottles"">瓶子</link>和<link=""vodka-barrels"">桶装伏特加</link>后，此业务即可生产出<link=""cordials"">甜酒</link>。此酒既可以卖给城市各处的商家，也可以通过你自己的业务渠道售卖。"	"<indent=10>Creates cordials from labels, fruit, ice, bottles, and vodka barrels or neutral alcohol.\n<b><sprite name=""res labels""> + <sprite name=""res fruit""> + <sprite name=""res ice""> + <sprite name=""res bottles""> + <sprite name=""res vodka-barrel""> <sprite name=""ui arr sm right""> <sprite name=""res cordials"">\n<sprite name=""res labels""> + <sprite name=""res citrus""> + <sprite name=""res ice""> + <sprite name=""res bottles""> + <sprite name=""res vodka-barrel""> <sprite name=""ui arr sm right""> <sprite name=""res cordials"">\n<sprite name=""res labels""> + <sprite name=""res grape-juice""> + <sprite name=""res ice""> + <sprite name=""res bottles""> + <sprite name=""res neutral alcohol""> <sprite name=""ui arr sm right""> <sprite name=""res cordials""></b>\n\n<b>Requires:</b>\n<sprite name=""skill cordials""><link=""cordial-making"">Cordially Yours</link>, <sprite name=""res cash""> 7500, <sprite name=""res barrels""> 50, <sprite name=""res pipes""> 20, <sprite name=""res lumber""> 20</indent>\n\nWhen installed and supplied with <link=""labels"">counterfeit labels</link>, <link=""fruit"">fruit</link>, <link=""ice"">ice</link>, <link=""bottles"">bottles</link>, and <link=""vodka-barrels"">vodka barrels</link>, this operation produces <link=""cordials"">cordials</link> that can be sold to businesses across the city or in your own operations."
info.production-gin.name	金酒生产	Gin Manufacture
info.production-gin.desc	"<indent=10>使用标签、橡木桶、柑橘和自酿金酒或香料及中性酒精生产金酒。\n<b><sprite name=""res labels""> + <sprite name=""res oak-barrels""> + <sprite name=""res citrus""> + <sprite name=""res bathtub-gin"">\n<sprite name=""res labels""> + <sprite name=""res spices""> + <sprite name=""res citrus""> + <sprite name=""res small-bottles""> + <sprite name=""res alcohol-btl""></b>\n\n<b>需要：</b>\n<sprite name=""skill gin""><link=""gin-making"">正宗金酒</link>，<sprite name=""res cash""> 7500，<sprite name=""res labels""> 50，<sprite name=""res pipes""> 20，<sprite name=""res lumber""> 20</indent>\n\n建成并供应<link=""labels"">仿制标签</link>、<link=""oak-barrels"">橡木桶</link>、<link=""citrus"">柑橘</link>和<link=""bathtub-gin"">自酿金酒</link>后，此业务即可生产出<link=""gin"">金酒</link>。此酒既可以卖给城市各处的商家，也可以通过你自己的业务渠道售卖。"	"<indent=10>Creates gin from labels, oak barrels, citrus, and bathtub gin or spices and neutral alcohol.\n<b><sprite name=""res labels""> + <sprite name=""res oak-barrels""> + <sprite name=""res citrus""> + <sprite name=""res bathtub-gin"">\n<sprite name=""res labels""> + <sprite name=""res spices""> + <sprite name=""res citrus""> + <sprite name=""res small-bottles""> + <sprite name=""res neutral alcohol""></b>\n\n<b>Requires:</b>\n<sprite name=""skill gin""><link=""gin-making"">Proper Gin</link>, <sprite name=""res cash""> 7500, <sprite name=""res labels""> 50, <sprite name=""res pipes""> 20, <sprite name=""res lumber""> 20</indent>\n\nWhen installed and supplied with <link=""labels"">counterfeit labels</link>, <link=""oak-barrels"">oak barrels</link>, <link=""citrus""> citrus </link>, <link=""bathtub-gin"">bathtub gin</link>, this operation produces <link=""gin"">gin</link> that can be sold to businesses across the city or in your own operations."
info.gambling-den.name	赌窝	Gambling Den
info.gambling-den.desc	"<indent=10>专用的赌博空间，隐藏在住宅楼之中。在这里，你可以设置自己觉得合适的任何赌博项目。\n\n<b>需要：</b>\n<sprite name=""res cash""> 1200</indent>\n\n在通过你忠实的门面所有者之一获得了赌窝后，你可以用各种赌博项目填充这一空间，这些项目会吸引来各色常客和临时起意的客户，这些人渴望将他们的钱财（以及债务）放入你早已摊开的手中。\n\n<i><indent=30><i>手握王牌，勿须出千。</i></indent>\n<indent=40>—奥斯卡·王尔德</indent>"	"<indent=10>A dedicated space for gambling, tucked away in a residential building where you can install whatever features strike your fancy.\n\n<b>Requires:</b>\n<sprite name=""res cash""> 1200</indent>\n\nOnce you've acquired a gambling den through one of your loyal front owners, you can fill this space with a variety of features that bring in all kinds of regular and transient customers, eager to place their money (and debt) into your waiting hands.\n\n<i><indent=30><i>One should always play fairly when one has the winning cards.</i></indent>\n<indent=40>—Oscar Wilde</indent>"
info.casino.name	奢华赌场	Casino
